"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total"
1996,"Male",214,16,15,76,119,130,138,124,114,192,216,315,487,652,792,743,1525,5868
1996,"Female",211,14,14,43,38,42,64,54,70,135,163,214,312,460,578,716,2545,5673
1996,"Total",425,30,29,119,157,172,202,178,184,327,379,529,799,1112,1370,1459,4070,11541
1997,"Male",228,18,19,100,107,133,133,135,144,147,264,341,451,674,760,752,1532,5938
1997,"Female",178,5,19,36,33,39,60,53,82,128,170,221,256,420,557,640,2470,5367
1997,"Total",406,23,38,136,140,172,193,188,226,275,434,562,707,1094,1317,1392,4002,11305
1998,"Male",190,14,24,76,133,138,112,150,137,175,211,332,450,615,816,744,1380,5697
1998,"Female",149,8,24,42,27,42,54,60,92,104,161,228,317,415,578,717,2230,5248
1998,"Total",339,22,48,118,160,180,166,210,229,279,372,560,767,1030,1394,1461,3610,10945
1999,"Male",215,16,21,71,101,109,108,138,135,179,265,335,442,572,779,849,1525,5860
1999,"Female",164,7,16,35,38,33,50,57,97,113,172,219,304,400,589,714,2561,5569
1999,"Total",379,23,37,106,139,142,158,195,232,292,437,554,746,972,1368,1563,4086,11429
2000,"Male",272,19,32,36,49,57,81,92,119,169,234,301,386,585,787,885,1521,5625
2000,"Female",244,17,7,17,18,30,24,43,84,103,167,241,326,372,541,674,2344,5252
2000,"Total",516,36,39,53,67,87,105,135,203,272,401,542,712,957,1328,1559,3865,10877
2001,"Male",297,11,15,43,48,46,81,81,111,158,205,295,445,587,838,833,1616,5710
2001,"Female",222,15,17,22,29,25,40,41,79,114,184,211,316,411,515,766,2722,5729
2001,"Total",519,26,32,65,77,71,121,122,190,272,389,506,761,998,1353,1599,4338,11439
2002,"Male",257,21,18,37,53,60,67,94,115,175,256,346,433,571,773,875,1729,5880
2002,"Female",247,9,9,17,25,33,41,52,71,114,161,243,324,392,562,766,2870,5936
2002,"Total",504,30,27,54,78,93,108,146,186,289,417,589,757,963,1335,1641,4599,11816
2003,"Male",268,10,17,40,49,55,70,96,124,156,249,343,470,514,770,837,1698,5766
2003,"Female",226,12,12,24,19,27,31,57,81,121,168,238,305,433,544,688,2657,5643
2003,"Total",494,22,29,64,68,82,101,153,205,277,417,581,775,947,1314,1525,4355,11409
2004,"Male",279,14,23,30,56,48,55,86,109,185,235,323,421,566,743,856,1819,5848
2004,"Female",240,11,9,20,14,24,37,52,70,131,201,259,357,428,540,738,2923,6054
2004,"Total",519,25,32,50,70,72,92,138,179,316,436,582,778,994,1283,1594,4742,11902
2005,"Male",252,12,20,36,54,53,59,90,121,181,236,359,430,554,706,858,1793,5814
2005,"Female",216,10,12,24,19,22,36,47,84,131,161,261,318,412,463,688,2885,5789
2005,"Total",468,22,32,60,73,75,95,137,205,312,397,620,748,966,1169,1546,4678,11603
2006,"Male",296,13,14,42,39,56,60,87,101,178,251,354,472,572,696,884,1923,6038
2006,"Female",255,5,11,26,23,15,31,44,72,134,183,293,322,450,590,716,3151,6321
2006,"Total",551,18,25,68,62,71,91,131,173,312,434,647,794,1022,1286,1600,5074,12359
2007,"Male",273,14,19,28,50,48,47,87,109,191,227,340,460,583,714,943,2114,6247
2007,"Female",277,8,15,23,22,22,34,51,88,112,157,264,326,457,520,767,3173,6316
2007,"Total",550,22,34,51,72,70,81,138,197,303,384,604,786,1040,1234,1710,5287,12563
2008,"Male",283,13,17,51,39,50,47,84,121,181,243,353,492,631,732,911,2215,6463
2008,"Female",253,15,7,20,21,20,34,65,81,109,188,316,396,454,595,768,3379,6721
2008,"Total",536,28,24,71,60,70,81,149,202,290,431,669,888,1085,1327,1679,5594,13184
2009,"Male",296,8,13,36,46,45,67,83,126,174,258,330,497,618,726,918,2365,6606
2009,"Female",246,13,16,23,20,26,34,56,92,145,224,248,372,453,559,751,3495,6773
2009,"Total",542,21,29,59,66,71,101,139,218,319,482,578,869,1071,1285,1669,5860,13379
2010,"Male",275,8,15,43,45,36,46,81,110,189,248,360,479,622,716,878,2392,6543
2010,"Female",250,6,10,10,18,23,38,46,85,134,191,258,380,501,584,661,3506,6701
2010,"Total",525,14,25,53,63,59,84,127,195,323,439,618,859,1123,1300,1539,5898,13244
2011,"Male",283,6,15,46,53,53,59,71,123,185,251,388,535,651,750,899,2613,6981
2011,"Female",246,5,6,26,40,49,50,66,92,141,196,283,408,539,648,749,3994,7538
2011,"Total",529,11,21,72,93,102,109,137,215,326,447,671,943,1190,1398,1648,6607,14519
2012,"Male",271,12,14,38,47,53,52,78,105,162,293,364,482,675,808,857,2863,7174
2012,"Female",229,9,9,16,21,8,31,36,94,161,202,241,395,525,617,781,4095,7470
2012,"Total",500,21,23,54,68,61,83,114,199,323,495,605,877,1200,1425,1638,6958,14644
2013,"Male",195,12,8,36,42,48,49,66,105,186,275,350,491,660,787,873,2738,6921
2013,"Female",174,10,8,15,16,15,27,50,65,132,213,268,396,510,621,824,3968,7312
2013,"Total",369,22,16,51,58,63,76,116,170,318,488,618,887,1170,1408,1697,6706,14233
